;;;;Chalamont;Chalamont;CONFRANCON;CONFRANCON;Cusset;Cusset;Divonne-Les-Bains;Divonne-Les-Bains;Domerat;Domerat;OYONNAX Arbent;OYONNAX Arbent;Saint-Galmier;Saint-Galmier;Vichy;Vichy
;;;;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split
categorie;type;nom;poids;;;;;;;;;;;;;;;;
Épicerie sucrée;Cafés et boissons chaudes;senseo corsé - aromatique et riche - 18 dosettes souples - café;Dosettes Souples ;2.16;['senseo corsé - aromatique et riche - 18 dosettes souples - café'];2.16;['senseo corsé - aromatique et riche - 18 dosettes souples - café'];2.16;['senseo corsé - aromatique et riche - 18 dosettes souples - café'];;;3.02;['senseo corsé - aromatique et riche - 18 dosettes souples - café'];2.16;['senseo corsé - aromatique et riche - 18 dosettes souples - café'];2.16;['senseo corsé - aromatique et riche - 18 dosettes souples - café'];2.81;['senseo corsé - aromatique et riche - 18 dosettes souples - café']
Épicerie sucrée;Cafés et boissons chaudes;senseo corsé - aromatique et riche - 40 dosettes souples - café;Dosettes Souples ;4.31;['senseo corsé - aromatique et riche - 40 dosettes souples - café'];4.31;['senseo corsé - aromatique et riche - 40 dosettes souples - café'];4.31;['senseo corsé - aromatique et riche - 40 dosettes souples - café'];4.31;['senseo corsé - aromatique et riche - 40 dosettes souples - café'];5.83;['senseo corsé - aromatique et riche - 40 dosettes souples - café'];4.31;['senseo corsé - aromatique et riche - 40 dosettes souples - café'];4.31;['senseo corsé - aromatique et riche - 40 dosettes souples - café'];6.05;['senseo corsé - aromatique et riche - 40 dosettes souples - café']
Épicerie sucrée;Cafés et boissons chaudes;senseo corsé - café en dosette;416g ;7.69;['senseo corsé - café en dosette'];7.69;['senseo corsé - café en dosette'];7.69;['senseo corsé - café en dosette'];7.69;['senseo corsé - café en dosette'];8.04;['senseo corsé - café en dosette'];7.69;['senseo corsé - café en dosette'];7.69;['senseo corsé - café en dosette'];8.26;['senseo corsé - café en dosette']
Épicerie sucrée;Cafés et boissons chaudes;senseo doux - café en dosettes;416g ;;;;;;;;;;;7.69;['senseo doux - café en dosettes'];;;;
Épicerie sucrée;Cafés et boissons chaudes;senseo décaféiné - equilibré - 40 dosettes souples - café;Dosettes Souples ;4.31;['senseo décaféiné - equilibré - 40 dosettes souples - café'];4.31;['senseo décaféiné - equilibré - 40 dosettes souples - café'];4.31;['senseo décaféiné - equilibré - 40 dosettes souples - café'];4.31;['senseo décaféiné - equilibré - 40 dosettes souples - café'];5.78;['senseo décaféiné - equilibré - 40 dosettes souples - café'];4.31;['senseo décaféiné - equilibré - 40 dosettes souples - café'];4.31;['senseo décaféiné - equilibré - 40 dosettes souples - café'];6.05;['senseo décaféiné - equilibré - 40 dosettes souples - café']
Épicerie sucrée;Cafés et boissons chaudes;senseo espresso classique - 36 dosettes;250;;;;;;;;;;;4.98;['senseo espresso classique - 36 dosettes'];4.98;['senseo espresso classique - 36 dosettes'];;
Épicerie sucrée;Cafés et boissons chaudes;senseo espresso décaféiné - 36 dosettes;250;;;;;;;;;;;4.99;['senseo espresso décaféiné - 36 dosettes'];4.99;['senseo espresso décaféiné - 36 dosettes'];6.27;['senseo espresso décaféiné - 36 dosettes']
Épicerie sucrée;Cafés et boissons chaudes;senseo espresso intense - 36 dosettes;250;;;;;;;;;;;4.98;['senseo espresso intense - 36 dosettes'];4.98;['senseo espresso intense - 36 dosettes'];;
Épicerie sucrée;Cafés et boissons chaudes;senseo extra long - classic - 20 dosettes souples  - café;Dosettes Souples ;;;;;;;;;;;3.99;['senseo extra long - classic - 20 dosettes souples  - café'];;;;
Épicerie sucrée;Cafés et boissons chaudes;senseo extra long - corsé - 20 dosettes souples  - café;Dosettes Souples ;;;;;;;;;;;3.99;['senseo extra long - corsé - 20 dosettes souples  - café'];;;;
Épicerie sucrée;Cafés et boissons chaudes;senseo intense - café - 32 dosettes - biologique;222g ;4.61;['senseo intense - café - 32 dosettes - biologique'];;;;;;;;;4.61;['senseo intense - café - 32 dosettes - biologique'];4.61;['senseo intense - café - 32 dosettes - biologique'];;
Épicerie sucrée;Cafés et boissons chaudes;senseo italian intenso - café - 32 dosettes - biologique;227g ;;;;;;;;;;;4.99;['senseo italian intenso - café - 32 dosettes - biologique'];4.99;['senseo italian intenso - café - 32 dosettes - biologique'];;
Épicerie sucrée;Cafés et boissons chaudes;senseo kenya - 36 dosettes;250;5.15;['senseo kenya - 36 dosettes'];;;;;;;;;5.15;['senseo kenya - 36 dosettes'];5.15;['senseo kenya - 36 dosettes'];;
Épicerie sucrée;Cafés et boissons chaudes;sib bâton de crayon de cire soluble à eau non toxiques enfants 12 couleurs;x 1;0.0;['sib bâton de crayon de cire soluble à eau non toxiques enfants 12 couleurs'];0.0;['sib bâton de crayon de cire soluble à eau non toxiques enfants 12 couleurs'];0.0;['sib bâton de crayon de cire soluble à eau non toxiques enfants 12 couleurs'];0.0;['sib bâton de crayon de cire soluble à eau non toxiques enfants 12 couleurs'];;;0.0;['sib bâton de crayon de cire soluble à eau non toxiques enfants 12 couleurs'];0.0;['sib bâton de crayon de cire soluble à eau non toxiques enfants 12 couleurs'];;
Épicerie sucrée;Cafés et boissons chaudes;sol a sol - maté & agrumes 100gr;x 1;4.61;['sol a sol - maté & agrumes 100gr'];4.61;['sol a sol - maté & agrumes 100gr'];4.61;['sol a sol - maté & agrumes 100gr'];4.61;['sol a sol - maté & agrumes 100gr'];;;4.61;['sol a sol - maté & agrumes 100gr'];4.61;['sol a sol - maté & agrumes 100gr'];;
Épicerie sucrée;Cafés et boissons chaudes;sol a sol - maté & gingembre citron 100gr;x 1;5.29;['sol a sol - maté & gingembre citron 100gr'];5.29;['sol a sol - maté & gingembre citron 100gr'];5.29;['sol a sol - maté & gingembre citron 100gr'];5.29;['sol a sol - maté & gingembre citron 100gr'];;;5.29;['sol a sol - maté & gingembre citron 100gr'];5.29;['sol a sol - maté & gingembre citron 100gr'];;
Épicerie sucrée;Cafés et boissons chaudes;sol a sol - maté après repas 100gr;x 1;5.82;['sol a sol - maté après repas 100gr'];5.82;['sol a sol - maté après repas 100gr'];5.82;['sol a sol - maté après repas 100gr'];5.82;['sol a sol - maté après repas 100gr'];;;5.82;['sol a sol - maté après repas 100gr'];5.82;['sol a sol - maté après repas 100gr'];;
Épicerie sucrée;Cafés et boissons chaudes;sol a sol - maté drainant 100gr;x 1;5.82;['sol a sol - maté drainant 100gr'];5.82;['sol a sol - maté drainant 100gr'];5.82;['sol a sol - maté drainant 100gr'];5.82;['sol a sol - maté drainant 100gr'];;;5.82;['sol a sol - maté drainant 100gr'];5.82;['sol a sol - maté drainant 100gr'];;
Épicerie sucrée;Cafés et boissons chaudes;sol a sol - maté gingembre citron infusettes 30gr;x 1;3.91;['sol a sol - maté gingembre citron infusettes 30gr'];3.91;['sol a sol - maté gingembre citron infusettes 30gr'];3.91;['sol a sol - maté gingembre citron infusettes 30gr'];3.91;['sol a sol - maté gingembre citron infusettes 30gr'];;;3.91;['sol a sol - maté gingembre citron infusettes 30gr'];3.91;['sol a sol - maté gingembre citron infusettes 30gr'];;
Épicerie sucrée;Cafés et boissons chaudes;sol a sol - maté thé vert & citron infusettes 30gr;x 1;3.91;['sol a sol - maté thé vert & citron infusettes 30gr'];3.91;['sol a sol - maté thé vert & citron infusettes 30gr'];3.91;['sol a sol - maté thé vert & citron infusettes 30gr'];3.91;['sol a sol - maté thé vert & citron infusettes 30gr'];;;3.91;['sol a sol - maté thé vert & citron infusettes 30gr'];3.91;['sol a sol - maté thé vert & citron infusettes 30gr'];;
Épicerie sucrée;Cafés et boissons chaudes;sol a sol - maté vert infusettes 30gr;x 1;3.91;['sol a sol - maté vert infusettes 30gr'];3.91;['sol a sol - maté vert infusettes 30gr'];3.91;['sol a sol - maté vert infusettes 30gr'];3.91;['sol a sol - maté vert infusettes 30gr'];;;3.91;['sol a sol - maté vert infusettes 30gr'];3.91;['sol a sol - maté vert infusettes 30gr'];;
Épicerie sucrée;Cafés et boissons chaudes;sol a sol - maté vitamaté 100gr;x 1;6.46;['sol a sol - maté vitamaté 100gr'];6.46;['sol a sol - maté vitamaté 100gr'];6.46;['sol a sol - maté vitamaté 100gr'];6.46;['sol a sol - maté vitamaté 100gr'];;;6.46;['sol a sol - maté vitamaté 100gr'];6.46;['sol a sol - maté vitamaté 100gr'];;
Épicerie sucrée;Cafés et boissons chaudes;sol a sol - maté épices 100gr;x 1;5.88;['sol a sol - maté épices 100gr'];5.88;['sol a sol - maté épices 100gr'];5.88;['sol a sol - maté épices 100gr'];5.88;['sol a sol - maté épices 100gr'];;;5.88;['sol a sol - maté épices 100gr'];5.88;['sol a sol - maté épices 100gr'];;
Épicerie sucrée;Cafés et boissons chaudes;sol à sol tisane digestion facile 500gr - sol à sol;x 1;24.62;['sol à sol tisane digestion facile 500gr - sol à sol'];24.62;['sol à sol tisane digestion facile 500gr - sol à sol'];24.62;['sol à sol tisane digestion facile 500gr - sol à sol'];24.62;['sol à sol tisane digestion facile 500gr - sol à sol'];;;24.62;['sol à sol tisane digestion facile 500gr - sol à sol'];24.62;['sol à sol tisane digestion facile 500gr - sol à sol'];;
Épicerie sucrée;Cafés et boissons chaudes;sol à sol tisane nuit paisible 500gr - sol à sol;x 1;33.03;['sol à sol tisane nuit paisible 500gr - sol à sol'];33.03;['sol à sol tisane nuit paisible 500gr - sol à sol'];33.03;['sol à sol tisane nuit paisible 500gr - sol à sol'];33.03;['sol à sol tisane nuit paisible 500gr - sol à sol'];;;33.03;['sol à sol tisane nuit paisible 500gr - sol à sol'];33.03;['sol à sol tisane nuit paisible 500gr - sol à sol'];;
Épicerie sucrée;Cafés et boissons chaudes;sol à sol tisane respiration 500gr - sol à sol;x 1;32.98;['sol à sol tisane respiration 500gr - sol à sol'];32.98;['sol à sol tisane respiration 500gr - sol à sol'];32.98;['sol à sol tisane respiration 500gr - sol à sol'];32.98;['sol à sol tisane respiration 500gr - sol à sol'];;;32.98;['sol à sol tisane respiration 500gr - sol à sol'];32.98;['sol à sol tisane respiration 500gr - sol à sol'];;
Épicerie sucrée;Cafés et boissons chaudes;sol à sol écorces de fèves de cacao & cannelle 1kg - sol à sol;x 1;30.89;['sol à sol écorces de fèves de cacao & cannelle 1kg - sol à sol'];30.89;['sol à sol écorces de fèves de cacao & cannelle 1kg - sol à sol'];30.89;['sol à sol écorces de fèves de cacao & cannelle 1kg - sol à sol'];30.89;['sol à sol écorces de fèves de cacao & cannelle 1kg - sol à sol'];;;30.89;['sol à sol écorces de fèves de cacao & cannelle 1kg - sol à sol'];30.89;['sol à sol écorces de fèves de cacao & cannelle 1kg - sol à sol'];;
Épicerie sucrée;Cafés et boissons chaudes;sol à sol écorces de fèves de cacao 1kg - sol à sol;x 1;22.42;['sol à sol écorces de fèves de cacao 1kg - sol à sol'];22.42;['sol à sol écorces de fèves de cacao 1kg - sol à sol'];22.42;['sol à sol écorces de fèves de cacao 1kg - sol à sol'];22.42;['sol à sol écorces de fèves de cacao 1kg - sol à sol'];;;22.42;['sol à sol écorces de fèves de cacao 1kg - sol à sol'];22.42;['sol à sol écorces de fèves de cacao 1kg - sol à sol'];;
Épicerie sucrée;Cafés et boissons chaudes;sonew tasse de capsule 3 pièces tasse de filtre à capsule de café adaptée pour dolce gusto accessoire de café fournitures de;x 1;0.0;['sonew tasse de capsule 3 pièces tasse de filtre à capsule de café adaptée pour dolce gusto accessoire de café fournitures de'];0.0;['sonew tasse de capsule 3 pièces tasse de filtre à capsule de café adaptée pour dolce gusto accessoire de café fournitures de'];0.0;['sonew tasse de capsule 3 pièces tasse de filtre à capsule de café adaptée pour dolce gusto accessoire de café fournitures de'];0.0;['sonew tasse de capsule 3 pièces tasse de filtre à capsule de café adaptée pour dolce gusto accessoire de café fournitures de'];;;0.0;['sonew tasse de capsule 3 pièces tasse de filtre à capsule de café adaptée pour dolce gusto accessoire de café fournitures de'];0.0;['sonew tasse de capsule 3 pièces tasse de filtre à capsule de café adaptée pour dolce gusto accessoire de café fournitures de'];;
Épicerie sucrée;Cafés et boissons chaudes;sonew tasse de capsule filtre à capsules de café réutilisable pour tasse à capsules de café pour type ctpm12 (180 ml);x 1;0.0;['sonew tasse de capsule filtre à capsules de café réutilisable pour tasse à capsules de café pour type ctpm12 (180 ml)'];0.0;['sonew tasse de capsule filtre à capsules de café réutilisable pour tasse à capsules de café pour type ctpm12 (180 ml)'];0.0;['sonew tasse de capsule filtre à capsules de café réutilisable pour tasse à capsules de café pour type ctpm12 (180 ml)'];0.0;['sonew tasse de capsule filtre à capsules de café réutilisable pour tasse à capsules de café pour type ctpm12 (180 ml)'];;;0.0;['sonew tasse de capsule filtre à capsules de café réutilisable pour tasse à capsules de café pour type ctpm12 (180 ml)'];0.0;['sonew tasse de capsule filtre à capsules de café réutilisable pour tasse à capsules de café pour type ctpm12 (180 ml)'];;
Épicerie sucrée;Cafés et boissons chaudes;starbucks breakfast blend - café - 10 capsules - intensité 7;x10 ;3.59;['starbucks breakfast blend - café - 10 capsules - intensité 7'];;;;;;;;;3.59;['starbucks breakfast blend - café - 10 capsules - intensité 7'];3.59;['starbucks breakfast blend - café - 10 capsules - intensité 7'];;
Épicerie sucrée;Cafés et boissons chaudes;starbucks by dolce gusto - vanille macchiatto - 12 capsules;132g ;3.94;['starbucks by dolce gusto - vanille macchiatto - 12 capsules'];;;;;;;;;3.94;['starbucks by dolce gusto - vanille macchiatto - 12 capsules'];3.94;['starbucks by dolce gusto - vanille macchiatto - 12 capsules'];;
Épicerie sucrée;Cafés et boissons chaudes;starbucks caffè verona - café - capsules - x10 - intensité 10;x10 ;;;;;;;;;;;3.46;['starbucks caffè verona - café - capsules - x10 - intensité 10'];3.46;['starbucks caffè verona - café - capsules - x10 - intensité 10'];;
Épicerie sucrée;Cafés et boissons chaudes;starbucks café en capsule - intensité 6 - blonde;x18 ;5.84;['starbucks café en capsule - intensité 6 - blonde'];;;;;;;;;5.84;['starbucks café en capsule - intensité 6 - blonde'];5.84;['starbucks café en capsule - intensité 6 - blonde'];;
Épicerie sucrée;Cafés et boissons chaudes;starbucks café en capsule - intensité 7 - colombia;x18 ;5.83;['starbucks café en capsule - intensité 7 - colombia'];;;;;;;;;5.83;['starbucks café en capsule - intensité 7 - colombia'];5.83;['starbucks café en capsule - intensité 7 - colombia'];;
Épicerie sucrée;Cafés et boissons chaudes;starbucks café pike place - nespresso;x10 ;;;;;;;;;;;3.36;['starbucks café pike place - nespresso'];3.36;['starbucks café pike place - nespresso'];;
Épicerie sucrée;Cafés et boissons chaudes;starbucks cappuccino - 6 capsules - 100% arabica - rich & creamy - café;120g ;3.79;['starbucks cappuccino - 6 capsules - 100% arabica - rich & creamy - café'];;;;;;;;;3.79;['starbucks cappuccino - 6 capsules - 100% arabica - rich & creamy - café'];3.79;['starbucks cappuccino - 6 capsules - 100% arabica - rich & creamy - café'];;
Épicerie sucrée;Cafés et boissons chaudes;starbucks capsules de café italien x10;56g ;3.35;['starbucks capsules de café italien x10'];;;;;;;;;3.35;['starbucks capsules de café italien x10'];3.35;['starbucks capsules de café italien x10'];;
Épicerie sucrée;Cafés et boissons chaudes;starbucks caramel macchiato - 6 capsules - 100% arabica - café;128g ;3.82;['starbucks caramel macchiato - 6 capsules - 100% arabica - café'];;;;;;;;;3.82;['starbucks caramel macchiato - 6 capsules - 100% arabica - café'];3.82;['starbucks caramel macchiato - 6 capsules - 100% arabica - café'];5.34;['starbucks caramel macchiato - 6 capsules - 100% arabica - café']
Épicerie sucrée;Cafés et boissons chaudes;starbucks colombia - 10 capsules aluminium - intensité 7 - café;Capsules Aluminium ;3.45;['starbucks colombia - 10 capsules aluminium - intensité 7 - café'];3.45;['starbucks colombia - 10 capsules aluminium - intensité 7 - café'];3.45;['starbucks colombia - 10 capsules aluminium - intensité 7 - café'];3.45;['starbucks colombia - 10 capsules aluminium - intensité 7 - café'];;;3.45;['starbucks colombia - 10 capsules aluminium - intensité 7 - café'];3.45;['starbucks colombia - 10 capsules aluminium - intensité 7 - café'];3.96;['starbucks colombia - 10 capsules aluminium - intensité 7 - café']
